Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Beholder	Beholders	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
Evil Eye	Evil Eyes	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
Medusa	Medusas	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"No melee penalty.
Stone gaze."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Medusa Queen	Medusa Queens	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"No melee penalty.
Stone gaze."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Minotaur	Minotaurs	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Good morale.	0
Minotaur King	Minotaur Kings	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Good morale.	0
Manticore	Manticores	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Scorpicore	Scorpicores	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Paralyzing venom.	DOUBLE_WIDE | FLYING_ARMY
Red Dragon	Red Dragons	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Immune to spell levels 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Black Dragon	Black Dragons	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Immune to all spells.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Wadjet	Wadjets	0	0	0	0	0	0	130	60	60	15	3	7	4	1	3	4	3	0	0	20	50		FLYING_ARMY
Venomous Wadjet	Venomous Wadjets	0	0	0	0	0	0	60	80	90	15	4	1	3	7	5	5	5	0	0	20	50		FLYING_ARMY
Whipper	Whippers	0	0	0	0	0	0	130	160	180	9	4	15	2	3	6	7	4	12	0	16	30		0
Overseer	Overseers	0	0	0	0	0	0	180	190	200	9	4	20	2	3	8	7	5	0	0	16	30		0
Camel Rider	Camel Riders	0	0	0	0	0	0	220	320	340	7	3	25	2	6	7	9	9	0	0	12	25		DOUBLE_WIDE
Desert Warrior	Desert Warriors	0	0	0	0	0	0	260	320	340	7	3	25	2	6	8	10	10	0	0	12	20		DOUBLE_WIDE
Priestess	Priestesses	0	0	0	0	0	0	330	480	520	4	0	25	7	9	5	10	7	12	0	10	20	Shoots. Casts Cure.	SELF_LUCK | SHOOTING_ARMY
High Priestess	High Priestesses	0	0	0	0	0	0	380	500	550	4	0	30	7	9	7	12	8	24	0	10	16	Shoots. Casts Cure.	SELF_LUCK | SHOOTING_ARMY
Ammut	Ammuts	0	0	0	0	0	0	500	800	1000	3	0	45	13	18	5	13	12	0	0	8	16	Enemies cannot retaliate.	DOUBLE_WIDE
Devouring Ammut	Devouring Ammuts	0	0	0	0	0	0	600	1100	1300	3	0	50	13	18	6	14	13	0	0	8	12	Enemies cannot retaliate.	DOUBLE_WIDE
Sphinx	Sphinxs	0	0	0	0	0	0	900	1000	1200	2	0	100	15	20	7	14	16	0	0	5	12	-1 to enemy morale. 20% Magic Resist.	DOUBLE_WIDE
Sphinx Oracle	Sphinx Oracles	0	0	0	0	0	0	1100	1400	1600	2	1	110	18	23	9	15	17	0	0	5	10	-1 to enemy morale. 30% Magic Resist.	DOUBLE_WIDE
Anubian	Anubians	0	1	0	0	0	0	2000	3650	3850	1	0	180	35	40	9	20	15	0	0	4	10	Slayer.  Earth immunity.	FLYING_ARMY | KING_2
Divine Anubian	Divine Anubians	0	2	0	0	0	0	4000	3850	4050	1	0	250	35	45	14	30	20	0	0	3	8	Slayer.  Earth immunity.  Attacks all adjacent enemies.	FLYING_ARMY | KING_2
																								
																								
																								
Gnoll	Gnolls	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Gnoll Marauder	Gnoll Marauders	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Lizardman	Lizardmen	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
Lizard Warrior	Lizard Warriors	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
Gorgon	Gorgons	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Mighty Gorgon	Mighty Gorgons	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Death stare.	DOUBLE_WIDE
Serpent Fly	Serpent Flies	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	Dispels beneficial spells.	FLYING_ARMY
Dragon Fly	Dragon Flies	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	Dispels beneficial spells.  Weakens enemies.	FLYING_ARMY
Basilisk	Basilisks	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Petrifying attack.	DOUBLE_WIDE
Greater Basilisk	Greater Basilisks	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Petrifying attack.	DOUBLE_WIDE
Wyvern	Wyverns	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Wyvern Monarch	Wyvern Monarchs	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Poisonous.	DOUBLE_WIDE | FLYING_ARMY
Hydra	Hydras	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Attacks all adjacent enemies.  Enemies cannot retaliate.	DOUBLE_WIDE | KING_1
Chaos Hydra	Chaos Hydras	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Attacks all adjacent enemies.  Enemies cannot retaliate.	DOUBLE_WIDE | KING_1
																								
																								
																								
Tree Lurker	Tree Lurkers	0	0	0	0	0	0	110	146	890	8	0	15	6	8	3	16	30	0	0	8	12	
Hippogryph	Hippogryphs	0	0	0	0	0	0	600	753	859	3	0	50	7	14	11	10	16	0	0	16	30	Undead.  Flies. Regenerating.	IS_UNDEAD | DOUBLE_WIDE | FLYING_ARMY 
Fox Druid	Fox Druids	0	0	0	0	0	0	370	530	420	4	0	30	6	8	10	10	20	8	0	10	20	Shoots. No melee penalty.	SHOOTING_ARMY  | const_no_melee_penalty
Wasp	Wasps	0	0	0	0	0	0	200	175	192	7	0	20	9	9	5	14	28	0	0	12	25	Flies.	FLYING_ARMY
Gold Golem	Gold Golems	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Golem. Damage from spells reduced by 85%.	0
Diamond Golem	Diamond Golems	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Golem. Damage from spells reduced by 95%.	0
																								
																								
																								
Halfling	Halflings	0	0	0	0	0	0	40	60	75	15	10	4	5	4	2	20	50	24	0	20	50	Shoots.	SELF_LUCK | SHOOTING_ARMY
Hobbit	Hobbits	0	0	0	0	0	0	65	62	78	15	8	5	6	5	2	20	30	24	0	20	30	Shoots.	SELF_LUCK | SHOOTING_ARMY
Faerie Bear	Faerie Bears	0	0	0	0	0	0	1110	1528	1728	2	0	90	6	16	16	5	12	0	0	5	12	Enemy defence reduction.	ENEMY_DEFENCE_REDUCTION
Mystical Bear	Mystical Bears	0	0	0	0	0	0	1300	1868	2127	2	0	100	8	18	18	5	10	0	0	5	10	Enemy defence reduction.	ENEMY_DEFENCE_REDUCTION
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Hornet	Hornets	0	0	0	0	0	0	240	240	247	7	0	25	12	10	5	12	20	0	1	12	20	 Flies. Casts Misfortune.	DOUBLE_WIDE | FLYING_ARMY 
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Grim Hippogryph	Grim Hippogryphs	0	0	0	0	0	0	700	792	905	3	0	55	11	15	12	10	12	0	0	16	Undead.  Flies. 3-headed attack. Regenerating.	IS_UNDEAD | DOUBLE_WIDE | FLYING_ARMY 
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Cave Leaper	Cave Leapers	0	0	0	0	0	0	150	174	203	8	0	16	8	8	5	16	25	0	0	6	12	Extra retalion increase by 2%.	ADDITIONAL_RETALIATION   
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
High Druid	High Druids	0	0	0	0	0	0	420	545	432	4	0	35	8	9	11	10	16	12	1	10	16	Shoots. No melee penalty. Casts Cure.	SHOOTING_ARMY  | const_no_melee_penalty
Treant	Treants	0	0	0	0	0	0	2400	3162	3850	1	0	200	7	19	21	4	10	0	1	4	10	 Bind.	SPELL_AFTER_ATTACK
Ancient Treant	Ancient Treants	0	0	0	0	0	2	5000	5571	7168	1	0	300	10	23	28	3	8	12	0	3	8	Shoots. No barrier penalty. No melee penalty.	SHOOTING_ARMY  | const_no_melee_penalty | const_no_wall_penalty | CATAPULT
																								
																								
																								
Azure Dragon	Azure Dragons	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Fear.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Crystal Dragon	Crystal Dragons	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Crystal generation.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Faerie Dragon	Faerie Dragons	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Offensive spell caster.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rust Dragon	Rust Dragons	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Spits acid.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Enchanter	Enchanters	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"No melee penalty.
Group spell casters."	SHOOTING_ARMY | const_no_melee_penalty
Sharpshooter	Sharpshooters	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	No Range or Barrier penalties.	SHOOTING_ARMY
Halfling	Halflings	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Positive luck.	SHOOTING_ARMY
Peasant	Peasants	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Boar	Boars	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Mummy	Mummies	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Curse.	
Nomad	Nomads	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Sandwalkers.	
Rogue	Rogues	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Spying.	
Troll	Trolls	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Regenerating.	
																								
																								
																								
Catapult	Catapults	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Attacks siege walls.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Ballista	Ballistas	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
First Aid Tent	First Aid Tents	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Heals troops.	DOUBLE_WIDE | SIEGE_WEAPON
Ammo Cart	Ammo Carts	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Unlimited ammunition.	SIEGE_WEAPON
Arrow Tower	Arrow Towers	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	Unlimited ammunition.	SIEGE_WEAPON
Supreme Archangel	Supreme Archangels	0	0	0	0	0	4	10000	18250	26300	1	0	500	18	40	40	75	75	0	2	2	5	"+1(+2) morale. Resurrects twice.
No fear. No enemy retaliation."	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2 | const_free_attack
Diamond Dragon	Diamond Dragons	0	0	0	0	3	0	8000	18750	25500	1	0	500	16	36	36	60	75	0	0	2	5	"Immune to all spells. No fear.
Can blind. +1 Gem daily."	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Lord of Thunder	Lords of Thunder	0	0	0	0	0	3	10000	15000	22500	1	0	600	12	32	32	60	75	24	24	2	5	"Shoot twice. No melee penalty.
No fear. Thunderclap. Air shield."	SHOOTING_ARMY | const_no_melee_penalty | KING_3
Hell Baron	Hell Barons	0	3	0	0	0	0	9000	19250	25700	1	0	400	17	35	37	45	60	0	0	2	5	"-1(-2) enemy luck. No fear.
Takes Soul. No enemy retaliation."	FLYING_ARMY | KING_2
Blood Dragon	Blood Dragons	0	2	0	0	0	0	6000	12000	15000	1	0	400	14	25	23	38	75	0	0	2	5	"Undead. -1(-2) enemy morale.
Sucks blood. Ages enemy."	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Darkness Dragon	Darkness Dragons	0	0	0	3	0	0	8000	20000	26000	1	0	600	15	33	33	60	75	0	0	2	5	"Immune to all spells. Fearsome.
Gets back. No fear. Darkness."	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK | const_free_attack
Ghost Behemoth	Ghost Behemoths	0	0	0	0	2	0	6000	16250	18250	1	0	600	11	25	25	45	75	0	0	2	5	"+1(+2) luck. Ignores defence.
Answers twice. Ignores obstacles."	DOUBLE_WIDE | KING_1
Hell Hydra	Hell Hydras	0	0	0	2	0	0	7000	15750	17750	1	0	500	10	25	27	38	68	0	0	2	5	"Acid attack. Can regenerate.
No fear. No enemy retaliation."	DOUBLE_WIDE | KING_1 | MULTI_HEADED | SHOOTING_ARMY | const_free_attack
Sacred Phoenix	Sacred Phoenixes	0	3	0	0	0	0	5000	17750	23000	1	0	400	21	28	28	45	60	0	1	2	5	"Fire spell Immunity. Slayer.
Rebirth always. Fire Shield."	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Ghost	Ghosts	0	0	0	0	0	0	500	150	250	8	0	5	8	11	8	1	2	0	0	16	30	"Attract dead souls."	IS_UNDEAD | IS_GHOST | FLYING_ARMY
